TANGGAL;KODE PRODUK;NAMA_PRODUK;KODE_JURUSAN; KODE_BIAYA;NAMA_BIAYA; NOREK;AMOUNT;KODE_PRODUK_PRIVIDER
2025-07-21;83084;EDU - Universitas Lambung Mangkurat;ULM;TAGIHAN Tes Kesehatan 20251;TAGIHAN Tes Kesehatan 20251;6666666777;13100000;
2025-07-21;83084;EDU - Universitas Lambung Mangkurat;ULM;TAGIHAN UKT 20251;TAGIHAN UKT 20251;6666666777;154660400;
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SD;BY-001;spp;6500848969;;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SD;BY-004;daftar ulang;6500333063;1100000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SMP;BY-007;spp;6500848969;6398000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SMP;BY-009;daftar ulang;6500333063;3600000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SMA;BY-012;SPP;6500848969;260000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;SMA;BY-014;DAFTAR ULANG;6500333063;600000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;TRANSPORT;BY-024;TRANSFORT;6500331001;370000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;TRANSPORT;BY-024;Transport Swasta;6500331001;835000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;TRANSPORT;BY-024;TRANSPORTASI;6500331001;1635000;40001
2025-07-21;83039;EDU - Yayasan Ar Rasyid;TRANSPORT;BY-025;TRANSPORTASI;7300437138;800000;40001
2025-07-21;83037;EDU - Ukhuwah;SD;BY-001;BIAYA BULANAN;6500846311;42100000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-001;SPP;6500846311;1650000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-002;KONSUMSI;6500846338;150000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-003;FSOG;6500846327;1105000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-004;TAHFIZ;6500846378;3202000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-005;UANG PENDIDIKAN;6500846346;22000000;40002
2025-07-21;83037;EDU - Ukhuwah;SMP;BY-006;BIAYA BULANAN;6500846311;9100000;40002
2025-07-21;83037;EDU - Ukhuwah;SMP;BY-008;FSOG;7300285699;350000;40002
2025-07-21;83037;EDU - Ukhuwah;SMP;BY-009;UANG PENDIDIKAN;6500846346;8000000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-010;BIAYA BULANAN;6500846311;11550000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-010;SPP;6500846311;1700000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-011;KONSUMSI;6500846338;800000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-012;FSOG;7300285664;500000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-013;LAUNDRY PEREMPUAN;6500846311;400000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-015;UANG PENDIDIKAN;6500846346;12500000;40002
2025-07-21;83037;EDU - Ukhuwah;PAUD;BY-016;BIAYA BULANAN;6500846311;4470000;40002
2025-07-21;83037;EDU - Ukhuwah;PAUD;BY-018;FSOG;7300285648;120000;40002
2025-07-21;83037;EDU - Ukhuwah;PAUD;BY-019;UANG PENDIDIKAN;6500846346;10400000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-020;TAHFIZ;6500846378;100000;40002
2025-07-21;83037;EDU - Ukhuwah;SMP;BY-021;TAHFIZ;6500846378;500000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-023;BIAYA BULANAN;6500847393;8700000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-023;SPP;6500847393;948000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-024;KONSUMSI;6500847393;1100000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-025;FSOG;7300285605;250000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-026;LAUNDRY PEREMPUAN;6500847393;600000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-027;UANG PENDIDIKAN;6500847393;5000000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-028;LAUNDRY LAKI LAKI;6500847393;400000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-028;LAUNDRY LAKI-LAKI;6500847393;175000;40002
2025-07-21;83037;EDU - Ukhuwah;SD;BY-031;PPDB PINDAHAN KLS 1;6500846435;23980000;40002
2025-07-21;83037;EDU - Ukhuwah;SMP;BY-032;PENGEMBANGAN;6500846435;20000000;40002
2025-07-21;83037;EDU - Ukhuwah;SMA;BY-033;PENGEMBANGAN 2;6500846435;100000;40002
2025-07-21;83037;EDU - Ukhuwah;HQBS;BY-034;UANG PENGEMBANGAN;6500847393;5000000;40002
2025-07-21;83041;EDU - Sabilal Muhtadin;PAUD;BY-001;SPP TK;6500845487;7200000;40003
2025-07-21;83041;EDU - Sabilal Muhtadin;PAUD;BY-002;Daftar Ulang TK;6500845487;750000;40003
2025-07-21;83041;EDU - Sabilal Muhtadin;SMP;BY-003;SPP SMP;6500845487;7598000;40003
2025-07-21;83041;EDU - Sabilal Muhtadin;SMP;BY-004;Daftar Ulang SMP;6500845487;1625000;40003
2025-07-21;83041;EDU - Sabilal Muhtadin;PAUD;BY-009;Pengembangan TK;6500845487;5500000;40003
2025-07-21;83041;EDU - Sabilal Muhtadin;PAUD;BY-010;Pangkal TK;6500845487;2000000;40003
